evaluation,label,正面为0，中立为1，负面为2,,,,,,,,,,,,,,,,,,,
第一反应是好羡慕，可我们的生活不是本该如此吗？全员核酸和封控快点滚出我的世界。,"0,6,9","0,6,9",,,,,,,,,,,,,,,,,,,
第5天了，已作好封闭的准备了，愿早日清零。,1,1,,,,,,,,,,,,,,,,,,,
大学生刚从广州润回山东，被转运了一天一夜，今天下午才到隔离酒店，问就是非常想润回广州过年以后我就是精神广州人了。,1,1,,,,,,,,,,,,,,,,,,,
从来没夸过，这一次我要真心说一句：广州牛逼!,"0,20,22","0,20,22",,,,,,,,,,,,,,,,,,,
草草看了一圈下来，都是在攻击做核酸的问题。现在不都是有疫情就免费做核酸，低风险地区按需求做自费核酸，这有什么好冲突的。,1,1,,,,,,,,,,,,,,,,,,,
不用各处扫码，随便堂食。回归正常的生活真的太舒服了！,"0,23,25","0,23,25",,,,,,,,,,,,,,,,,,,
不要制造焦虑，更不要制造恐慌！放下恐惧，抬起头正视病毒。,"0,16,20","0,16,20",,,,,,,,,,,,,,,,,,,
不容易啊，在家做做副业吧，临期仓是最佳选择！,1,1,,,,,,,,,,,,,,,,,,,
不管了，周末出门去溜溜，出门剪头做指甲。,1,1,,,,,,,,,,,,,,,,,,,
别说了!我这两天心情好到爆!,"0,9,14","0,9,14",,,,,,,,,,,,,,,,,,,
毕竟核酸不是治疗方法平时在家自己测抗原，不舒服就吃药，有症状就去看医生。,1,1,,,,,,,,,,,,,,,,,,,
本防疫厌烦者开心得睡不着。,"0,7,13","0,7,13",,,,,,,,,,,,,,,,,,,
"政策跟进社会现状更改优化是好事,放宽的同时另一方面也在加强预防和防控措施,疫情以来第一次被封的我还在继续被封控着嘞!","0,14,16","0,14,16",,,,,,,,,,,,,,,,,,,
正常堂食了，挺好！,"0,7,9","0,7,9",,,,,,,,,,,,,,,,,,,
一切都会好起来的！,"0,1,9","0,1,9",,,,,,,,,,,,,,,,,,,
一个建议。爱好者如果真的害怕的话，建议爱好者们搬去方舱。大家都没意见的吧？,1,1,,,,,,,,,,,,,,,,,,,
我其实非常支持防疫，但我不支持过度封控，像广州现在这样只隔离阳性和密接是最好的，高风险区也只划分到楼栋，其他人就照常工作生活，企业也可以正常经营，大小店铺全部正常营业开放堂食，你好我好大家好，若还跟从前一样新增一例就封一万个人，那对于大多数人而言都是灾难。,"0,37,40","0,37,40",,,,,,,,,,,,,,,,,,,
为广州高兴！作为一个上海人，一个中国人，希望不仅仅是广州回归日常，整个中华大地尽早能够恢复往日生机。,"0,4,6","0,4,6",,,,,,,,,,,,,,,,,,,
外地酸民和防疫爱好者们别嫉妒广州了，我们放开可不是躺平，精准防控的优越性你们不懂。,1,1,,,,,,,,,,,,,,,,,,,
世界总是变化太快，村口昨天中午还在装铁皮，昨天下午就宣布解封了（感谢前线人民）！,"0,29,31","0,29,31",,,,,,,,,,,,,,,,,,,
看到光了啊！好像高校都自由进出了。希望带好头！俺已经封了六分之一了，给我个自由研究生生涯吧！,"0,1,5","0,1,5",,,,,,,,,,,,,,,,,,,
开心！,"0,1,3","0,1,3",,,,,,,,,,,,,,,,,,,
广州没有躺平的！第一天小朋友们的学校已经开始统计还没打疫苗小朋友的人，准备设定疫苗专场了。先生的公司也通知了，办公室上班都人员也要做好个人防护，要求戴口罩上班。其他的特殊工种，也有自己都要求。当然自己的健康自己得要负责。家里有老人的，目前老人家就先尽量不要出门。,1,1,,,,,,,,,,,,,,,,,,,
广州，始终走在前列。取消全员核酸，取消低风险封控，恢复堂食，各场所逐渐不查核酸。真的很棒，给广州点赞。当核酸沦为赚钱工具时，就已经变味了，没意义的核酸就该停止！看着广州恢复烟火气，这座我曾经待过的城市，逐渐重回生机，真的很好！,"0,109,113","0,109,113",,,,,,,,,,,,,,,,,,,
广东对疫情的处理能力是企业办在广东地区的优势之一,"0,21,23","0,21,23",,,,,,,,,,,,,,,,,,,
防疫爱好者又开始了？害怕的直接进方仓自我隔离，别把你的愚蠢释放到靠理性支撑运行的社会上。,"2,6,11","2,6,11",,,,,,,,,,,,,,,,,,,
祝福广州的朋友们，早茶走起。不愧是改革开放的前沿，沿海城市的表率。,"0,1,3","0,1,3",,,,,,,,,,,,,,,,,,,
昨天出去逛街没想到人很多，广州不算躺平，和解封之前一样只看看绿码和测温度，至少比被关在笼子里好，白云区还不可以堂食但是有私人小店放外面几桌，对广东人来说吃美食比什么重要，建议多人的地方还是戴好口罩，好好洗手，吃饭时不要和陌生人坐在一起。,1,1,,,,,,,,,,,,,,,,,,,
郑州疫情算是结束了。,1,1,,,,,,,,,,,,,,,,,,,
郑州你怎么这么好看。,"0,4,10","0,4,10",,,,,,,,,,,,,,,,,,,
郑州明天终于解封了，希望这次最后一次封控了！想想解封第一件准备干嘛！,"0,5,10","0,5,10",,,,,,,,,,,,,,,,,,,
郑州繁荣稳定岁月静好社会和谐，1450境外势力抹黑郑州。,1,1,,,,,,,,,,,,,,,,,,,
有些防疫爱好者是不是忘了，今年常态化核酸的政策出来之前这几年都是不用每天做核酸的，是没有这么多核酸亭的，是只有出省坐高铁等才需要做核酸的。说的所谓放开也仅仅只是恢复到年初的防疫政策而已。真做核酸做上瘾了吧！,1,1,,,,,,,,,,,,,,,,,,,
一切回归正常吧！ 魔幻的十一月终将结束！,1,1,,,,,,,,,,,,,,,,,,,
一方有难八方支援，又一车菜出发了，菜不要钱工人不要钱，村子的人们一听见给捐菜了，都自发的来帮忙砍菜！,"0,1,9","0,1,9",,,,,,,,,,,,,,,,,,,
虽然上班不快乐，但是聚餐见到朋友们就很快乐。整整25天，人都居家居颓废了。,"0,19,22","0,19,22",,,,,,,,,,,,,,,,,,,
人口密集的地方带好口罩，注意消毒。其他时间正常上班上课，该吃吃该喝喝该玩玩，不快乐吗？天天核酸天天隔离不出外走走身体机能跟不上更容易得阳性。穷都不怕就不要怕其他了！,1,1,,,,,,,,,,,,,,,,,,,
确实需要关注偏远地区和基层人民的抗疫保障，全国一盘棋，一个不能少。,1,1,,,,,,,,,,,,,,,,,,,
去哪都不用扫码，也不用核酸了，爽死!,"0,16,18","0,16,18",,,,,,,,,,,,,,,,,,,
老同学在解封后就奔工厂忙订单去了，生病有什么好怕的，广东人只怕搞不到钱。等着瞧吧，越穷越落后的地区越愿意坚持清零，毕竟搞经济的难度可太大了，坚持封控多好啊，不用管招商GDP增速这些发展指标，还能通过盖方舱分猪肉。最后还是有钱的和有钱的玩，没钱的报团搞层层加码。,1,1,,,,,,,,,,,,,,,,,,,
回来了生活终于回来了！,"0,6,11","0,6,11",,,,,,,,,,,,,,,,,,,
好开心的一天，吃了晚饭顺便出去洗了个头。,"0,1,4","0,1,4",,,,,,,,,,,,,,,,,,,
果然跟上次石家庄一样，依旧有人在骂，我除了羡慕还有啥可说的，啥时候能轮到我这破地儿。,1,1,,,,,,,,,,,,,,,,,,,
恭喜广州市民（防疫爱好者除外）！,"0,1,3","0,1,3",,,,,,,,,,,,,,,,,,,
“小县城的安稳让人羡慕，大城市的霓虹让人踌躇。小县城的街道很窄、办事很慢，闲话很多，但天空很蓝，生活很安逸。”“虽然小县城这里很小，但喜欢小城市慢节奏的生活，喝喝小酒，聊聊人生，迷茫又安稳。平凡无奇的小城里藏着最惬意的生活，也藏着最踏实的幸福。”,"0,52,54","0,52,54",,,,,,,,,,,,,,,,,,,
一定要当心，新冠疫情不是你想的那么简单，再说一次，那些盲目“开放”的城市，用不了多久就会被病毒打的头破血流，并且成为防疫抗疫的罪人！,"2,50,54","2,50,54",,,,,,,,,,,,,,,,,,,
武汉协和医院牛，专家团队2020年1月25日就准确研判、指导精准防控。今天，武汉协和医院医生发出心声：停止恐慌！,1,1,,,,,,,,,,,,,,,,,,,
算是彻底放开了，老家十八线小县城已经停止常态化核酸了，公共场所也不查核酸了，场所码都不用扫。希望2023年能够脱掉口罩，一切恢复如初！,"0,61,67","0,61,67",,,,,,,,,,,,,,,,,,,
疫情中的经济现象总结：1初期N95口罩一度涨价到20块一个。2核酸检查最高时单管130多元一次，甚至更高，后来降到13-15元单管；3医用呼吸机，自然不用说了，初期很紧俏；4物资：短期隔离区，高风险区的封控，造成局部的蔬菜及副食品价格上涨；甚至出现定点商场超市供应，形成局部垄断，有超市狠发了一笔财。小超市只能关门，后期才盘活。5隔离区内的采购：含住宿、配送、餐饮外卖、专车接送、检查核酸人员的需求，形成某些商机，有钱赚。6核酸检测公司：数据造假，故意制造阳性，以增加核酸检测数量； 不全部检测，造成数据不全面；说不好自己派人员散播病毒，制造疫情，违法乱纪（有点狠了）7由于疫情许多企业亏损，资产缩水，甚至破产倒闭。被收购。8造成失业率上升，无工作无收入，业绩不好职工薪水无法增长，家庭资产缩水。9餐饮业、旅游业因封控造成接待量严重下降，行业亏损严重。,1,1,,,,,,,,,,,,,,,,,,,
从这三年防控看，社会普遍科学素养低，决策者们也不高。怎讲？核酸检测，从捅嗓子眼采集，到试剂、仪器、实验室操作，人员道德等等，都是有误差的。假设整个流程下来，总体的累积误差率是万分之一（相当低了），那么，1万个样本就会有1个错误：要么该阳性的被确定为阴性，要么该阴性被确定为阳性。10万个样本就有10个。这说明啥？说明只要是常态化核酸检测，就永远不可能做到清零！阴性被误确认为阳性还好，会有复核；如果阳性被误确认为阴性，就会在社会隐蔽传播。,"2,9,18,66,68","2,9,18,66,68",,,,,,,,,,,,,,,,,,,
核酸检测，新冠疫苗，从某种意义上来讲，都是奇奇怪怪垄断资本与一小撮权力部门及具体人，相互掩耳盗铃罢了。试问，全世界大多数国家都能躺平，为什么惟独咱们社会一直处于机械古板式清零，难道这种措施，很科学、很客观、很人性、很实锤吗？还是很别有一番风味，那就是选择牺牲大多数，博利极少数，不是吗？现在，有人又在某些场合，公开高调把新冠病毒感染，归究于上年纪的老年人，声称连七十八十岁多老人都要注射新冠疫苗。呵呵，这难道不是又一个伪命题吗？别出心裁、挖空心思，难道不是资本逐利人惯用伎俩吗？贼者，总是冠以各种借口，以偏概全达到不可告人的目的。当下，凡是以主观偏面的形式出现新款新题，都逃避不了客观辩证的无限质疑，况且，在依法治国的社会里，绝大多数人不仅仅是显微镜，适时也会立马成为放大镜。,"2,126,139","2,126,139",,,,,,,,,,,,,,,,,,,
全国开放，国家保护我们三年，往后日子，自己保护好自己。,1,1,,,,,,,,,,,,,,,,,,,
退烧，一直咳嗽嗓子痛味觉不灵敏，今天12月6日全部症状消失恢复正常。,1,1,,,,,,,,,,,,,,,,,,,
每个人都是自己健康的第一责任人，一个新冠时代过去了，全剧终，感谢国家保护了自己三年！致敬所有的最美逆行者们！愿今后平安康健，岁月静好。,"0,31,33,44,45","0,31,33,44,45",,,,,,,,,,,,,,,,,,,
瑟瑟发抖，之前封的三年都白封了,"2,1,5","2,1,5",,,,,,,,,,,,,,,,,,,
我看，周边很多人都在带货。因为这个，搅乱了一切。你要珍惜一个不带“连花清瘟”的人，因为带货这个流量大，受众广。还很伟光正，反正也吃不死人。你要珍惜一个不带“乳铁蛋白”的人，因为和提高免疫力有关的货，总是能扯上一点关系，安全边际高。但是实际作用消费者又测试不了。你要珍惜一个三天两头喊你打疫苗的人，因为这样说容易被喷收了厂家钱，容易被喷谋财害命，居心叵测，然而他们仍苦口婆心地劝你打疫苗。嗯，不要对号入座，我希望明年的此时我们还能在评论区相遇。,"2,19,24","2,19,24",,,,,,,,,,,,,,,,,,,
12月5日，正式公布了奥密克戎的毒性与致病性较之前新冠病毒降低很多，各地的政策也陆续放开。我想，疫情或许没有结束的那一天，但是三年过去了，我们也找到和疫情相处的模式了。如果有一天，我们将新冠病毒看作是一场感冒，就想我们看待流感病毒那样，这场疫情就真的过去了。,1,1,,,,,,,,,,,,,,,,,,,
2022年12月6日进舱第四天，阳第六天一切还好，打听回家时间一一不知。今天一天医生没来了开始一天三测体温，二测血压。今天晚上没测体温了、量了一次血压家里小区五天没有阳者今天可以出门买菜（两小时）有阳的还在封这里今天还有阳进来好多人啊，上下两层70以上的老人、孕妇在一楼熬不住了我这个床，有电，挨着床边就电，电的我嗷嗷叫，一刻不敢碰但又一直碰到每个对应的顶上有一个通风管口是凉风我这个凉风特别大。中间，活动范围也就床上，所以我一天到晚都批、盖住被子鼻子还通一下堵一下没得好，希望早日出舱。,1,1,,,,,,,,,,,,,,,,,,,
优化防控措施，树立抗疫自信。,"0,8,14","0,8,14",,,,,,,,,,,,,,,,,,,
风向一变，一夜之间，各地争先恐后宣布不做核酸了。很多事情其实心里都明白，就是不想当出头鸟。有担当的还是太少了。,"2,46,55","2,46,55",,,,,,,,,,,,,,,,,,,
全国陆续放开了，现在防护只能靠自己了，提高自身免疫力，有备无患。,1,1,,,,,,,,,,,,,,,,,,,
2020年，造成了全球减贫事业数十年来最严重的倒退，极贫人口比2019年增加了7100万人。但仔细观察贫困趋势就会发现，情况还不止于此：减贫进展速度在疫情爆发前就已放缓。仅恢复疫情前减贫速度对实现消除极端贫困目标是不够的。,"2,20,26","2,20,26",,,,,,,,,,,,,,,,,,,
千万不要放开，这个病毒传播力强，可以反复感的特性，如果不人为干预和控制，是可以达到灭绝人类的程度。如果按照他的发展规律，再过几年应该是会被稀释的。在奥密克戎阶段就放开不太明智。就我个人体验而言，真的很糟糕，现在宣传“大号感冒”也是减少恐慌。这个带给身心的伤害比“大号感冒”严重很多很多。,"2,98,103","2,98,103",,,,,,,,,,,,,,,,,,,
梦见我自己小阳人了，测了好几天都是小阳人后，又转到内马尔说他自己买了个六千块的眼霜，我嘲笑了他一番。,1,1,,,,,,,,,,,,,,,,,,,
核酸证明：昨天以前，要核酸做证明；今天以后，要证明做核酸。,1,1,,,,,,,,,,,,,,,,,,,
简直离谱！布洛芬已经卖脱销，连花清瘟价格涨了几倍。梦回囤盐、抢板蓝根的年代。,"2,1,5","2,1,5",,,,,,,,,,,,,,,,,,,
三年的疫情是否真的就这样画上一个句号了？并不觉得是此自由有多开心，感谢国家三年的保护，往后只有自己保护自己啦！,"2,21,33","2,21,33",,,,,,,,,,,,,,,,,,,
三年疫情，远在美国的儿子也终于中招了，到今天整整一周。今天视频中，了解了他中招后的过程和感受。一、11月28日，嗓子疼，抗原自测阴性，但为保险起见，和公司说明情况，居家办公。二、11月29日，发烧至38.5°，自己开车去药店购药。三、11月30-12月1日，退烧，但鼻塞，丧失嗅觉和味觉。四、12月2日-今，鼻塞好转，味觉嗅觉恢复，开始流鼻涕、咳嗽，吃止咳药，有很大好转。由于仍有症状，尚未再次抗原测试。从儿子的以上叙述看，感觉新冠至少对年轻人来讲不是特别可怕，今天1个多小时的视频中，没有听到他咳嗽，精神状态也很好。,1,1,,,,,,,,,,,,,,,,,,,
上门核酸检测的工作人员是小阳人，有啥看法？,"2,9,16","2,9,16",,,,,,,,,,,,,,,,,,,
我觉得这个倡议好。在此倡议大家，疫情期间共同做好如下事项：1.垃圾处理规范起来，居家期间产生的生活垃圾均需暂存居所内，做好消毒消杀，后续由专门人员上门收取后，严格按照医疗垃圾或者涉疫垃圾进行处置。2.两点一线宅起来，倡导您随时科学规范佩戴口罩，做好个人防护，做到不扎堆、不聚集，在社区内有序开展活动。3.防控意识强起来，也呼吁各企事业单位员工非必要不出门，非必要不出小区，非必要不到岗，最大限度减少人员流动、控制人员聚集。4.防疫药品备起来，提示您家中可储备一些缓解普通感冒症状的药物以及中成药（连花清瘟胶囊或颗粒等）。如出现发热等症状，也可适当服用药物。购买抗原试剂盒，必要时进行抗原自测。5.少量物资备起来，为减少快递外卖人员接触，建议大家储备少量的物资，如方便食品、自热火锅，或便于储存的水果蔬菜等。,"0,4,9","0,4,9",,,,,,,,,,,,,,,,,,,
我不再记录这些数据了，除了个别省份，目前已经几乎都无意义了。只要看看河北的曲线就应该明白了。所以国外到底感染了多少人，实际上要在统计数据上乘以n。你觉得n应该取几？,"2,21,29","2,21,29",,,,,,,,,,,,,,,,,,,
写个日记，仅做防日后有人说我“事后诸葛亮”之用，本人不参加辩论会。医护相关。在20条刚出的时候，我脑子里回响的声音是“或以为死，或以为亡。”但当时想的是，如果放开了，我和同事们，有些人会死，有些人会逃跑。在看到一些新措施后，我脑子里现在回响的声音是“人为刀俎，我为鱼肉。”,"2,126,135","2,126,135",,,,,,,,,,,,,,,,,,,
一线城市率先力行开放，静待二、三线城市政策跟上，让我能从呆了一个多月的二线城市单位回趟三线城市的家。,1,1,,,,,,,,,,,,,,,,,,,
政策开放后，抵御新冠病毒靠自己了。,1,1,,,,,,,,,,,,,,,,,,,
什么是科学精准的防疫措施？不是具体到每一个人，每一个感染者，不是在流调过程中，而正是我们经常提到的“外防输入、内防传播”。精准的点位应该在海关关口，应该在人员聚集流动的场所，精准的方向应该在于预防，而不是传播之后的科学流调、精准封控。所谓的“科学、精准”失掉了主要的环节，避开了主要矛盾，妄图在封控中精准封控，这简直就是荒谬。上海开了一个非常坏的头！,"2,156,163","2,156,163",,,,,,,,,,,,,,,,,,,
目前的政策是非常合理的。首先技术上办不到，其次财政上不支持。所以没什么好说啦。气溶胶这些东西都是无用功，除非你挖地洞，否则还是得出门的啊。,"0,7,12","0,7,12",,,,,,,,,,,,,,,,,,,
焦虑不知从何而起，在买东西方面从来不是一个多想的人，平常也就是可能快没了的时候再买，昨天新规定出来了，不再查验核酸码，今天社区通知核酸也停了，公司封控了三天，居家办公中。一大早的朋友就在着急囤药，说现在更危险了，有些网传对新冠有些管用的药，药店没货，淘宝的更是没货，有的甚至涨价，就当下的这个情况，不免让人有些恐慌。虽然说防患于未然是好，但是有时候弦绷得太紧容易断，现在不知怎的就很焦虑，最近休息也不是很好，工作状态也不是很好，就是很焦虑，现在很怕身边传播焦虑的新闻,"2,191,194","2,191,194",,,,,,,,,,,,,,,,,,,
新冠后遗症之一是味觉嗅觉会丧失啊，还有多多分享相关药物。,1,1,,,,,,,,,,,,,,,,,,,
不管是严防还是放开，都会有人争论，咱不争论这些事情，咱就拥护最高层的决策，并做好自己的防护、守护好家人和应有的社会公德（比如带好口罩、不去少去人员聚集的场所。,"0,29,37","0,29,37",,,,,,,,,,,,,,,,,,,
昨夜失眠了，突然开放打的我有点措手不及，从前一秒的富士康万人大徒步，到各地大规模方仓建设，从供销社重返到社区大食堂建设，现在的突然开放犹如把我从60年代直接拽入了21世纪，又犹如在地狱受了三年的苦突然一觉醒来发现自己身在天堂，这种心理的落差让我一下有点不能适应，毕竟这三年我损失了太多，十几万开的店在22年6月份以三千六百元的价格贱卖给了收废品的，还不说期间耽误的时间和精力，就被专家一句：现在的病毒还不如普通的感冒，建议放开，要不是核酸你会这样说吗早干嘛去了？再者你确定毒株只会越来越弱吗？或者资本不会使坏再次投毒吗？现在大幅开放会不会确实步子迈的太大了，不觉得扯淡吗？,"2,8,20,226,231","2,8,20,226,231",,,,,,,,,,,,,,,,,,,
整天说外国人都不怕的，看看医学专家聚会是什么样的吧。为什么重症比例这么低呢，因为认知有偏差。放开后高烧42°不用往医院跑，哪怕烧到昏迷也是无症状，医生只会让回家多喝热水。只有需要吸氧救命才算刚进入轻症的门槛。而重症，代表一只脚迈进鬼门关，要么死要么生不如死，各占一半。,"2,120,134","2,120,134",,,,,,,,,,,,,,,,,,,
疫情退散！远离！远离！远离！从来没有被隔离过！最近距离一次隔离！新冠撤退！,1,1,,,,,,,,,,,,,,,,,,,
防控封了2个月，刚刚传来消息，全员核酸成为历史！河南省宣布新冠病毒成为乙类传染病！阳性病人可以在家隔离。但在完全放开之前，希望准备好适量的方舱医院，储备好治疗新冠病毒的药物，例如布洛芬退烧药、莲花清瘟等基本药品。（当然，我也不懂药理学，随便说说！）因为疫情防控一旦全面放开，必有一波感染高峰，大量的感染者，医院急诊科肯定是接待不了的。需要分流至专业的方舱医院，医务人员针对此病，进行专业的治疗。让正规医院做自己专业的事情，别影响运行。,1,1,,,,,,,,,,,,,,,,,,,
所谓新冠疫情的防疫防控，到了目前这个状况，希望尽快取消每天的病例数量发布，至少不要再发布无症状者的数据了，没有作用，没有目的，没有意义。,"2,54,68","2,54,68",,,,,,,,,,,,,,,,,,,
“只要能治的病在医生眼里都不算大事儿”啊对，所以我一看到奥密克戎嗜神经性，有说像化疗脑表现的，有说像阿尔兹海默症表现的，有说像退行性表现的。还有一堆看起来是代谢相关的病，目前都还没研究出个所以然来。我就想：这有办法治？这都敢去抽奖？还反复感染，凑保底抽天井啊？,"2,110,117","2,110,117",,,,,,,,,,,,,,,,,,,
在保定住的大家知道哪里可以买到退烧药连花清瘟之类的药的吗，坐标在河大新区这边，室友生病了但是买不到药，我们是刚在外住的学生不太了解，大家有知道的可以说一下吗？,1,1,,,,,,,,,,,,,,,,,,,
今天码也变了！浑身难受，嗓子和鼻子也痛。所以各位还是做好防护吧，这比感冒严重多了。得了非常难受。,"2,44,48","2,44,48",,,,,,,,,,,,,,,,,,,
为什么近期媒体、医界阴风阵阵？阴风一:长新冠。我们都知道，脑膜炎炎症退了就治愈了，致于变痴那是后遗症。新冠也一样，炎症退了，检测不到病毒了，就治愈了，其他的就是后遗症。后遗症重、普遍，封控就必要而合理，这损了资本的利益，于是就创造一个新名词 叫“长新冠",1,1,,,,,,,,,,,,,,,,,,,
供参考！一定要当心，新冠疫情不是你想的那么简单，再说一次，那些盲目“开放”的城市，用不了多久就会被病毒打的头破血流，并且成为防疫抗疫的罪人！,"2,48,58","2,48,58",,,,,,,,,,,,,,,,,,,
国内各城市陆陆续续放松，开放会成为一种必然趋势。前一阵有些朋友跟我讲担心自己和家人会被传染成小阳人，哪怕知道病毒的威力已经小了很多，但还是不太放心，毕竟家里上有老下有小的。朋友说的这些医学上的事，本人作为外行不插嘴，但我还是可以从命理上简单说说哪类人可能容易得肺部类的疾病。,1,1,,,,,,,,,,,,,,,,,,,
新冠已持续三年，目前更是横扫一切的在冲撞着正常生活。2022年4月之前，山西疫情相对平稳感觉离我们很远。很多年长者也开玩笑地说山西历来就是个好地方，很多不好的东西都绕着走，非常适合居住，就连核酸也做得非常少。上海疫情大爆发后的山西也从4月份开始了漫长的抗疫路，太原核酸常规检测从5天一检到如今的三天一检，一天一检也是常事。,1,1,,,,,,,,,,,,,,,,,,,
此次疫情暴发突然来势凶猛情况复杂，接下来的剧本如下，最后一波就叫欧米伽，Ω是希腊字母中的第24个，也是最后一个。可以代指“终结”。欧米伽、字面上的意思是“大 O”（omega），以便与字母“奥米克戎”（omicron，小 O）区别。对，之前这一波传染性爆棚的毒株就叫“奥米克戎”，它只是小o。,1,1,,,,,,,,,,,,,,,,,,,
这样封来封去就真的好么。现在新冠进化的都没流行感冒严重，进方仓隔离顶多给连花清瘟，体质好的甚至都不需要吃药，最少三天最多七天差不多就能好。现在我们要的不是这样重蹈覆辙的解封封控，这样疫情永远永远清不了零，我们要的是新冠康复后的数据，然后下一步放开啊。,"2,80,84","2,80,84",,,,,,,,,,,,,,,,,,,
现在可以合理怀疑有某个特定的组织，在中国境内系统性的投毒。投毒的方法也不复杂，入境的时候用那个西药Paxlovid，可以短期内让感染者呈阴性，入境5加3后停药，迅速会复阳。然后就到处溜达投毒，尤其是还有人流量的地方，否则很难解释全国性疫情大爆发的原理。,1,1,,,,,,,,,,,,,,,,,,,
病例数上升时，不戴口罩不测核酸不是勇敢，而是愚蠢。没有哪个战士在打战时，把钢盔扔掉，冲出战壕。,"2,23,25","2,23,25",,,,,,,,,,,,,,,,,,,
而且这个病第一批得的人还没有时间很长，谁知道会有什么后遗症，希望国家控制下疫情，不控制对于老年人还有抵抗力弱的人怎么办？,"2,20,30","2,20,30",,,,,,,,,,,,,,,,,,,
上个星期是奥密克戎变异毒株一周年，世卫组织总干事谭德赛表示，至今已有超500种高传播性的奥密克戎亚型变异毒株，免疫逃逸能力更强，因此不能排除仍会出现新的变种新冠毒株的可能。并且他还说，即使目前全球已有90%的人口对新冠病毒具有一定程度抵抗力，但是上个星期仍有超过8500人感染去世，在已有了许多预防措施的情况下产生这个数字是令人震惊的，希望大家仍能保持警惕。,1,1,,,,,,,,,,,,,,,,,,,
万万没想到，小灰也确诊阳性了。,1,1,,,,,,,,,,,,,,,,,,,
最近新冠疫情严峻，大家一方面出行记得做好防护措施，另一方面，家中必要的物资储存也不能少哦！,1,1,,,,,,,,,,,,,,,,,,,
哈尔滨什么时候能恢复正常的生活呢！十多天了，虽然没有完全静默，但是除了生活必需品的所有商业门店都关门，小区凭出入门整一天一人两个小时，就这样还每天很多社会面出现，这样落后的省会城市什么时候能进步一点！防疫没有问题，但是能不能不要再用这么影响人折腾人折磨人的方式防疫了！,"2,119,128","2,119,128",,,,,,,,,,,,,,,,,,,
一连看了两个新冠患者的自述，一个25-30，7天转阴，一个50+，小区领居，3天前拉到方舱隔离，目前还住着，能说话了，开直播。年轻人表示虽然难受，但问题不大，关键在于这个50+的老同志，说这简直和死了一样难受，差点人没了，缓过来了就开直播，告诉大家什么情况。声音听起来还好，但是会咳嗽，说话期间一直在喝水，很重视我省配发的中药，他和老伴一起得了，但是没隔离到一起，现在说，把中药好好喝。介绍了目前方舱的一些情况，据说现在无论阴还是阳，都要开放了，放开管控，各回各家，让大家早做准备。能不得就千万别得，真的和死了一遍一样。,1,1,,,,,,,,,,,,,,,,,,,
如果放开了，那大家一定要好好戴口罩，少去人多的地方，懂经方的有经方护身，家里常被仲景方准没错。类似柴胡类，青龙类，如果不幸中招，需要辩证用药。,1,1,,,,,,,,,,,,,,,,,,,
根据统计，疲劳是最常见的症状，出现比率高达70%；其次是注意力难以集中(48%) 呼吸急促(46%)和肌肉疼痛(45%)。,1,1,,,,,,,,,,,,,,,,,,,
最初的新冠病毒和现在的新冠病毒，比大清刚成立时的八旗军和清末的八旗军差别还大，但都是八旗军。杀伤力差多了，就有些配不上“疫情”这个称呼了。,1,1,,,,,,,,,,,,,,,,,,,
新冠疫情，整整三年了。目前，从各个信息角度分析，根本没有停歇的空间，随着气候变化，天气愈寒冷，新冠病毒感染愈发严重，这是客观存在的事实与问题。无论如何，防范工作不可忽视，戴口罩必须有的，核酸检测必须有的，清零、躺平必须折中的。总之，形势不容乐观，否则将导致问题的严重性。,1,1,,,,,,,,,,,,,,,,,,,
疫苗依然是最有效的武器，后面一旦放开，感染者会爆发性增长，随着时间推移可能迟早会被感染。群体免疫是虚幻的想象，病毒会一轮又一轮破坏T细胞，破坏大脑、心脏、肾脏、神经、血管，不过是能撑几次的区别。但疫苗只能降低重症与死亡率，对避免重复感染效果很差。最好的手段是不被感染。,1,1,,,,,,,,,,,,,,,,,,,
关于死亡率，全世界都在美化数据。在英国，住院“康复”的人，只有在28天内死亡才会纳入统计。8分之1的人在5个月内死亡，6分之1在6个月内死亡，一旦到了进入重症监护室的程度，死亡率将升至2分之1。我们也不例外，今后有无数人因新冠而死，却不在统计数据中，武汉曾发生过。,"2,12,16","2,12,16",,,,,,,,,,,,,,,,,,,
我们还戴口罩吗？地球上最后一块要清零的土地也决定不再抗争了。我认为对于COVID病毒可能也就逐渐会变成一个自然选择的过程了，他可能逐渐的会流感化，可能未来每年或者每隔几年需要打一个疫苗，可能我们每个人生命里的某个节点都会被感染至少一次。有的人感染以后会症状多点，有的会少点，有的甚至可能会去世，但我估计死亡率可能在未来会接近流感。如果是这种情况，那么我们真的还要戴口罩吗？如果选择要戴口罩会是一辈子的事吗？要是你会怎么选择？,1,1,,,,,,,,,,,,,,,,,,,
